Wavelength (nm);[buf]-005-1-1chaps;[buf]-005-1-1chaps1;[buf]-5-1-1;[buf]-5-1-2; [buf]-10.1; [buf]-10.1 1; [buf]-10.2; [buf]-10.2 1; [buf]-10.2 2; [buf]-Buf; [buf]-10.11;A [H20}-buf;A [buf}-buf;A [buf}-buf 1;A [buf}-10.21;A [buf}-10.22;A [buf}-10.23;A [Buf]-9.1;A [Buf]-9.2;A [Buf]-9.3;A [Buf];A [Buf]-1.11;A [Buf]-1.12;A [Buf]-1.13;A [Buf]-1.13 1;A [Buf]-Buf;A [Buf]-2.11;A [Buf]-2.12;A [Buf]-2.13
810;1,501;2,955;-0,317;0,630;-1,715;-0,344;-1,655;-1,668;-1,729;1,729;9,438;0,015;-0,027;-0,030;-0,116;-0,104;-0,044;0,077;0,059;-0,005;-0,012;0,050;0,034;0,041;0,034;-0,031;0,018;-0,019;-0,035
811;1,534;2,853;-0,302;0,688;-1,670;-0,295;-1,692;-1,645;-1,734;1,703;9,445;0,027;-0,051;0,011;-0,049;-0,071;0,006;0,038;0,031;-0,058;-0,005;0,048;0,034;0,003;-0,038;-0,030;-0,029;-0,015;-0,056
812;1,503;2,835;-0,323;0,727;-1,634;-0,221;-1,644;-1,621;-1,642;1,725;9,434;-0,014;-0,049;0,001;-0,037;-0,054;0,028;0,003;0,071;-0,072;-0,006;0,064;0,017;-0,007;-0,051;-0,023;-0,046;-0,038;-0,055
813;1,474;2,872;-0,261;0,720;-1,615;-0,161;-1,572;-1,578;-1,572;1,712;9,310;-0,042;-0,033;-0,031;-0,052;-0,037;-0,032;-0,027;0,106;-0,017;-0,068;0,014;0,008;-0,012;-0,029;-0,035;-0,063;-0,126;-0,128
814;1,463;2,900;-0,282;0,651;-1,717;-0,265;-1,659;-1,638;-1,665;1,722;9,310;-0,067;-0,026;0,032;-0,077;-0,049;-0,062;-0,064;0,037;-0,018;-0,044;-0,054;-0,001;-0,001;-0,024;-0,048;-0,038;-0,116;-0,122
815;1,459;2,880;-0,320;0,683;-1,771;-0,390;-1,753;-1,678;-1,732;1,746;9,565;-0,056;-0,046;0,027;-0,035;-0,020;-0,045;-0,128;-0,044;-0,079;-0,037;-0,059;0,017;-0,003;-0,036;-0,044;0,022;-0,071;-0,123
816;1,490;2,908;-0,304;0,732;-1,780;-0,442;-1,769;-1,675;-1,758;1,710;9,785;0,025;0,024;0,044;0,047;0,025;0,001;-0,107;0,016;-0,075;0,000;-0,025;-0,029;-0,033;-0,021;0,025;0,004;-0,042;-0,088
817;1,482;2,921;-0,270;0,698;-1,756;-0,443;-1,760;-1,710;-1,770;1,654;9,757;0,037;0,050;0,020;0,017;0,014;0,024;-0,071;0,084;-0,025;0,002;0,016;-0,003;-0,017;0,005;0,056;-0,028;-0,043;-0,067
818;1,528;2,894;-0,273;0,695;-1,694;-0,412;-1,756;-1,709;-1,771;1,675;9,608;0,005;-0,009;-0,017;-0,062;-0,077;-0,052;0,008;0,067;0,024;-0,011;-0,061;-0,021;-0,049;0,029;0,049;-0,066;-0,057;-0,052
819;1,529;2,933;-0,292;0,714;-1,655;-0,350;-1,709;-1,700;-1,785;1,679;9,540;-0,024;-0,031;0,010;-0,060;-0,085;-0,112;-0,012;0,039;0,000;-0,035;-0,054;0,001;-0,037;0,021;0,003;-0,092;-0,040;-0,055
820;1,522;2,943;-0,261;0,732;-1,659;-0,318;-1,695;-1,688;-1,767;1,690;9,469;-0,050;-0,040;0,023;-0,005;-0,063;-0,083;-0,037;0,010;-0,060;-0,034;-0,011;-0,021;-0,012;0,015;-0,013;-0,032;-0,035;-0,064
